time, prey, predator
0.05, 0.010995, 0.009951
0.55, 0.0283922, 0.00948114
1, 0.0666929, 0.00909803
1.5, 0.172283, 0.00874591
2, 0.445107, 0.00855023
2.55, 1.26449, 0.00878627
3.05, 3.26599, 0.0102063
3.55, 8.42441, 0.0161279
4.05, 21.5863, 0.0537872
4.55, 50.6715, 0.907193
5.05, 0.408303, 17.9261
5.55, 1.0522e-07, 17.1376
6.05, 1.59544e-13, 16.2998
6.55, 1.03685e-18, 15.5029
7.05, 2.26258e-23, 14.7449
7.55, 1.38281e-27, 14.0241
8.05, 2.0576e-31, 13.3384
8.55, 6.66929e-35, 12.6863
9.05, 4.30166e-38, 12.0661
9.55, 5.1228e-41, 11.4762
10, 1.91781e-43, 10.97
10.5, 6.20479e-46, 10.4336
11, 3.16359e-48, 9.92354
11.5, 2.44072e-50, 9.43838
12, 2.74975e-52, 8.97694
12.5, 4.38419e-54, 8.53805
13, 9.62119e-56, 8.12063
13.5, 2.83489e-57, 7.72361
14, 1.09686e-58, 7.34601
14.5, 5.4623e-60, 6.98686
15, 3.4383e-61, 6.64528
15.5, 2.69102e-62, 6.32039
16, 2.57986e-63, 6.01139
16.5, 2.98846e-64, 5.71749
17, 4.13082e-65, 5.43796
17.5, 6.73556e-66, 5.1721
18, 1.28194e-66, 4.91924
18.5, 2.82025e-67, 4.67874
19, 7.10755e-68, 4.44999
19.5, 2.03492e-68, 4.23243
20, 6.56766e-69, 4.02551
20.5, 2.37244e-69, 3.8287
21, 9.52808e-70, 3.64152
21.5, 4.22805e-70, 3.46349
22, 2.06103e-70, 3.29416
22.5, 1.09772e-70, 3.13311
23, 6.35577e-71, 2.97993
23.5, 3.98162e-71, 2.83424
24, 2.68687e-71, 2.69567
24.5, 1.94504e-71, 2.56388
25, 1.50459e-71, 2.43854
25.5, 1.23916e-71, 2.31932
26, 1.08286e-71, 2.20593
26.5, 1.00081e-71, 2.09808
27, 9.75329e-72, 1.9955
27.5, 9.99381e-72, 1.89794
28, 1.07381e-71, 1.80515
28.5, 1.20681e-71, 1.7169
29, 1.41525e-71, 1.63296
29.5, 1.72797e-71, 1.55312
30, 2.1919e-71, 1.47719
30.5, 2.88284e-71, 1.40497
31, 3.92388e-71, 1.33628
31.5, 5.51733e-71, 1.27095
32, 8.00071e-71, 1.20882
32.5, 1.1946e-70, 1.14972
33, 1.83381e-70, 1.09351
33.5, 2.89005e-70, 1.04005
34, 4.6697e-70, 0.989199
34.5, 7.72594e-70, 0.940837
35, 1.30728e-69, 0.89484
35.5, 2.25964e-69, 0.851091
36, 3.98563e-69, 0.809481
36.5, 7.16629e-69, 0.769906
37, 1.31223e-68, 0.732265
37.5, 2.44478e-68, 0.696465
38.05, 4.93994e-68, 0.659103
38.55, 9.51755e-68, 0.626879
39.05, 1.86094e-67, 0.596231
39.55, 3.68994e-67, 0.567082
40.05, 7.41451e-67, 0.539357
40.55, 1.5088e-66, 0.512988
41.05, 3.10737e-66, 0.487908
41.55, 6.47301e-66, 0.464054
42.05, 1.36308e-65, 0.441367
42.55, 2.90007e-65, 0.419788
43.05, 6.23075e-65, 0.399265
43.55, 1.35116e-64, 0.379745
44.05, 2.95603e-64, 0.361179
44.55, 6.5216e-64, 0.343521
45.05, 1.45031e-63, 0.326727
45.55, 3.24983e-63, 0.310753
46.05, 7.33476e-63, 0.29556
46.55, 1.6668e-62, 0.28111
47.05, 3.81249e-62, 0.267367
47.55, 8.77442e-62, 0.254295
48.05, 2.03133e-61, 0.241863
48.55, 4.729e-61, 0.230038
49.05, 1.10679e-60, 0.218792
49.55, 2.60347e-60, 0.208095
50.05, 6.15355e-60, 0.197921
50.55, 1.4611e-59, 0.188245
51.05, 3.48432e-59, 0.179042
51.55, 8.34348e-59, 0.170288
52.05, 2.00576e-58, 0.161963
52.55, 4.83984e-58, 0.154045
53.05, 1.17198e-57, 0.146513
53.55, 2.84757e-57, 0.13935
54.05, 6.94097e-57, 0.132538
54.55, 1.69703e-56, 0.126058
55.05, 4.16116e-56, 0.119895
55.55, 1.02314e-55, 0.114033
56.05, 2.5223e-55, 0.108458
56.55, 6.23359e-55, 0.103156
57.05, 1.54421e-54, 0.0981124
57.55, 3.83402e-54, 0.0933157
58.05, 9.53964e-54, 0.0887535
58.55, 2.37845e-53, 0.0844144
59.05, 5.9415e-53, 0.0802873
59.55, 1.48695e-52, 0.0763621
60.05, 3.72786e-52, 0.0726288
60.55, 9.36149e-52, 0.069078
61.05, 2.3546e-51, 0.0657008
61.55, 5.93122e-51, 0.0624887
62.05, 1.49621e-50, 0.0594336
62.55, 3.77948e-50, 0.0565279
63.05, 9.55947e-50, 0.0537642
63.55, 2.42086e-49, 0.0511357
64.05, 6.13784e-49, 0.0486357
64.55, 1.55792e-48, 0.0462579
65.05, 3.95852e-48, 0.0439964
65.55, 1.00684e-47, 0.0418454
66.05, 2.56331e-47, 0.0397996
66.55, 6.5319e-47, 0.0378538
67.05, 1.66592e-46, 0.0360031
67.55, 4.25231e-46, 0.0342429
68.05, 1.08627e-45, 0.0325688
68.55, 2.77698e-45, 0.0309765
69.05, 7.10422e-45, 0.0294621
69.55, 1.81867e-44, 0.0280217
70.05, 4.65873e-44, 0.0266517
70.55, 1.19412e-43, 0.0253487
71.05, 3.06251e-43, 0.0241094
71.55, 7.85867e-43, 0.0229307
72.05, 2.01766e-42, 0.0218096
72.55, 5.18277e-42, 0.0207434
73.05, 1.33194e-41, 0.0197292
73.55, 3.42452e-41, 0.0187647
74.05, 8.80853e-41, 0.0178473
74.55, 2.26665e-40, 0.0169747
75.05, 5.8349e-40, 0.0161448
75.55, 1.5026e-39, 0.0153555
76.05, 3.87083e-39, 0.0146048
76.55, 9.97496e-39, 0.0138907
77.05, 2.57132e-38, 0.0132116
77.55, 6.63028e-38, 0.0125657
78.05, 1.71014e-37, 0.0119514
78.55, 4.41217e-37, 0.0113671
79.05, 1.13863e-36, 0.0108113
79.55, 2.93916e-36, 0.0102828
80.05, 7.58867e-36, 0.00978005
80.55, 1.95977e-35, 0.0093019
81.05, 5.06215e-35, 0.00884713
81.55, 1.30784e-34, 0.0084146
82.05, 3.37953e-34, 0.00800321
82.55, 8.7345e-34, 0.00761194
83.05, 2.25785e-33, 0.00723979
83.55, 5.83747e-33, 0.00688584
84.05, 1.50946e-32, 0.00654919
84.55, 3.90377e-32, 0.006229
85.05, 1.00974e-31, 0.00592446
85.55, 2.61211e-31, 0.00563482
86.05, 6.7582e-31, 0.00535933
86.55, 1.74873e-30, 0.00509732
87.05, 4.5255e-30, 0.00484811
87.55, 1.17127e-29, 0.00461109
88.05, 3.03175e-29, 0.00438565
88.55, 7.84827e-29, 0.00417124
89.05, 2.03187e-28, 0.0039673
89.55, 5.26086e-28, 0.00377334
90.05, 1.36224e-27, 0.00358887
90.55, 3.52768e-27, 0.00341341
91.05, 9.13602e-27, 0.00324653
91.55, 2.36623e-26, 0.0030878
92.05, 6.12898e-26, 0.00293684
92.55, 1.58763e-25, 0.00279326
93.05, 4.11278e-25, 0.0026567
93.55, 1.06549e-24, 0.00252681
94.05, 2.76051e-24, 0.00240328
94.55, 7.1524e-24, 0.00228578
95.05, 1.85326e-23, 0.00217403
95.55, 4.80225e-23, 0.00206774
96.05, 1.24443e-22, 0.00196665
96.55, 3.22492e-22, 0.0018705
97.05, 8.35767e-22, 0.00177905
97.55, 2.16605e-21, 0.00169207
98.05, 5.61395e-21, 0.00160935
98.55, 1.45507e-20, 0.00153067
99.05, 3.77152e-20, 0.00145583
99.55, 9.77602e-20, 0.00138466
100.05, 2.53409e-19, 0.00131696
100.55, 6.56893e-19, 0.00125258
101.05, 1.70286e-18, 0.00119134
101.55, 4.41445e-18, 0.00113309
