time, prey, predator
0.05, 0.4, 1.998
0.55, 0.402193, 1.97824
1, 0.407544, 1.96127
1.5, 0.417155, 1.94399
2, 0.430473, 1.92905
2.55, 0.449104, 1.91606
3.05, 0.469233, 1.90801
3.55, 0.491789, 1.90405
4.05, 0.515939, 1.90454
4.55, 0.54058, 1.9097
5.05, 0.564352, 1.91954
5.55, 0.585695, 1.93383
6.05, 0.602981, 1.95206
6.55, 0.614705, 1.9734
7.05, 0.619707, 1.99672
7.55, 0.617386, 2.02066
8.05, 0.607826, 2.04375
8.55, 0.591809, 2.0645
9.05, 0.570685, 2.08163
9.55, 0.546157, 2.09413
10, 0.522659, 2.10088
10.5, 0.496518, 2.10316
11, 0.471725, 2.10004
11.5, 0.449386, 2.09196
12, 0.430281, 2.07954
12.5, 0.414909, 2.0636
13, 0.403557, 2.04499
13.5, 0.396365, 2.02463
14, 0.393381, 2.0034
14.5, 0.394598, 1.98218
15, 0.399976, 1.9618
15.5, 0.409437, 1.94303
16, 0.422853, 1.9266
16.5, 0.440008, 1.91321
17, 0.460557, 1.90348
17.5, 0.483961, 1.89794
18, 0.509434, 1.89705
18.5, 0.535899, 1.9011
19, 0.561969, 1.91019
19.5, 0.585995, 1.92418
20, 0.606182, 1.94263
20.5, 0.620788, 1.96475
21, 0.628374, 1.98941
21.5, 0.628061, 2.01521
22, 0.619723, 2.04053
22.5, 0.604034, 2.06375
23, 0.582364, 2.08338
23.5, 0.556544, 2.09822
24, 0.528571, 2.10748
24.5, 0.500341, 2.11082
25, 0.473456, 2.1083
25.5, 0.449145, 2.10036
26, 0.428259, 2.08767
26.5, 0.411331, 2.07109
27, 0.398654, 2.05156
27.5, 0.390362, 2.03003
28, 0.386491, 2.00746
28.5, 0.387029, 1.98476
29, 0.391935, 1.96282
29.5, 0.401145, 1.94245
30, 0.414557, 1.92443
30.5, 0.431996, 1.90949
31, 0.45316, 1.89829
31.5, 0.47756, 1.89145
32, 0.504451, 1.88946
32.5, 0.532766, 1.8927
33, 0.561086, 1.90135
33.5, 0.587668, 1.91532
34, 0.610551, 1.93425
34.5, 0.627756, 1.95736
35, 0.637576, 1.98351
35.5, 0.638874, 2.01124
36, 0.631335, 2.0388
36.5, 0.615558, 2.0644
37, 0.592966, 2.08636
37.5, 0.565552, 2.10331
38.05, 0.532474, 2.11506
38.55, 0.502038, 2.11902
39.05, 0.473081, 2.11665
39.55, 0.446931, 2.10842
40.05, 0.424483, 2.09507
40.55, 0.406277, 2.07752
41.05, 0.392592, 2.05679
41.55, 0.383536, 2.03389
42.05, 0.379123, 2.00985
42.55, 0.379326, 1.98563
43.05, 0.3841, 1.96215
43.55, 0.393392, 1.94027
44.05, 0.407121, 1.9208
44.55, 0.425143, 1.90451
45.05, 0.447199, 1.89212
45.55, 0.472838, 1.88428
46.05, 0.501337, 1.88154
46.55, 0.531626, 1.88434
47.05, 0.562237, 1.89292
47.55, 0.59131, 1.90727
48.05, 0.616699, 1.92703
48.55, 0.636187, 1.95146
49.05, 0.647799, 1.97937
49.55, 0.650164, 2.00919
50.05, 0.642818, 2.03906
50.55, 0.626341, 2.06698
51.05, 0.602271, 2.0911
51.55, 0.572817, 2.10986
52.05, 0.540455, 2.12221
52.55, 0.507551, 2.12765
53.05, 0.476095, 2.1262
53.55, 0.447574, 2.11834
54.05, 0.422983, 2.10486
54.55, 0.402902, 2.08673
55.05, 0.387612, 2.06505
55.55, 0.377206, 2.04092
56.05, 0.371676, 2.01542
56.55, 0.370976, 1.98956
57.05, 0.375055, 1.96432
57.55, 0.383868, 1.94061
58.05, 0.397361, 1.91929
58.55, 0.415437, 1.90115
59.05, 0.437896, 1.88698
59.55, 0.464362, 1.87747
60.05, 0.494186, 1.87326
60.55, 0.526353, 1.87486
61.05, 0.559405, 1.8826
61.55, 0.591421, 1.89658
62.05, 0.620096, 1.91653
62.55, 0.642947, 1.94177
63.05, 0.657653, 1.97116
63.55, 0.662473, 2.00307
64.05, 0.656632, 2.03549
64.55, 0.640537, 2.06627
65.05, 0.615736, 2.09329
65.55, 0.58461, 2.11477
66.05, 0.549919, 2.12945
66.55, 0.514341, 2.13667
67.05, 0.480137, 2.13641
67.55, 0.448994, 2.12911
68.05, 0.422023, 2.11563
68.55, 0.399855, 2.09701
69.05, 0.382774, 2.07442
69.55, 0.370853, 2.04904
70.05, 0.364054, 2.02203
70.55, 0.362305, 1.99446
71.05, 0.365543, 1.96738
71.55, 0.373725, 1.94172
72.05, 0.386821, 1.9184
72.55, 0.404779, 1.89825
73.05, 0.427468, 1.88211
73.55, 0.454597, 1.87072
74.05, 0.485611, 1.86479
74.55, 0.519577, 1.86492
75.05, 0.555083, 1.87155
75.55, 0.590182, 1.88488
76.05, 0.622432, 1.90477
76.55, 0.649086, 1.93065
77.05, 0.667443, 1.96139
77.55, 0.675326, 1.99538
78.05, 0.671559, 2.03049
78.55, 0.656291, 2.06437
79.05, 0.63102, 2.09463
79.55, 0.59829, 2.11923
80.05, 0.561169, 2.13663
80.55, 0.522699, 2.14602
81.05, 0.48547, 2.14725
81.55, 0.451412, 2.14078
82.05, 0.421784, 2.12748
82.55, 0.397281, 2.10847
83.05, 0.378193, 2.08503
83.55, 0.364566, 2.05841
84.05, 0.356325, 2.02986
84.55, 0.353364, 2.00053
85.05, 0.355596, 1.9715
85.55, 0.362975, 1.94378
86.05, 0.375489, 1.91831
86.55, 0.393129, 1.89598
87.05, 0.415837, 1.87766
87.55, 0.443416, 1.86416
88.05, 0.475426, 1.85625
88.55, 0.511048, 1.85462
89.05, 0.548957, 1.85981
89.55, 0.587223, 1.87217
90.05, 0.623307, 1.89169
90.55, 0.654217, 1.91791
91.05, 0.676849, 1.94983
91.55, 0.688519, 1.98583
92.05, 0.687547, 2.02371
92.55, 0.673708, 2.06092
93.05, 0.648363, 2.09479
93.55, 0.614184, 2.12294
94.05, 0.574572, 2.14355
94.55, 0.532988, 2.15556
95.05, 0.492422, 2.1587
95.55, 0.455111, 2.15337
96.05, 0.4225, 2.14049
96.55, 0.395368, 2.12126
97.05, 0.374017, 2.09705
97.55, 0.358462, 2.06923
98.05, 0.348581, 2.03913
98.55, 0.344222, 2.00798
99.05, 0.345264, 1.97692
99.55, 0.351647, 1.94702
100.05, 0.363369, 1.91925
100.55, 0.380462, 1.89457
101.05, 0.402936, 1.87385
101.55, 0.430702, 1.85799
102.05, 0.463449, 1.8478
102.55, 0.500505, 1.84408
103.05, 0.540677, 1.84747
103.55, 0.582111, 1.85846
104.05, 0.622231, 1.8772
104.55, 0.657834, 1.90341
105.05, 0.685415, 1.93622
105.55, 0.70172, 1.97407
106.05, 0.704443, 2.01474
106.55, 0.692838, 2.05548
107.05, 0.668002, 2.09334
107.55, 0.632667, 2.12555
108.05, 0.59057, 2.14993
108.55, 0.545662, 2.16512
109.05, 0.501417, 2.17066
109.55, 0.460459, 2.1669
110.05, 0.424477, 2.15475
110.55, 0.394364, 2.13553
111.05, 0.370444, 2.11069
111.55, 0.352698, 2.08173
112.05, 0.340946, 2.05009
112.55, 0.334977, 2.01707
113.05, 0.334623, 1.98391
113.55, 0.339795, 1.95171
114.05, 0.350491, 1.92151
114.55, 0.366775, 1.89427
115.05, 0.388725, 1.87095
115.55, 0.416356, 1.85245
116.05, 0.449507, 1.83968
116.55, 0.48768, 1.83349
117.05, 0.529867, 1.83466
117.55, 0.574356, 1.84381
118.05, 0.618612, 1.8613
118.55, 0.659293, 1.88702
119.05, 0.692517, 1.92031
119.55, 0.714418, 1.95974
120.05, 0.72194, 2.0031
120.55, 0.713633, 2.04751
121.05, 0.690145, 2.08971
121.55, 0.654149, 2.12653
122.05, 0.609698, 2.15534
122.55, 0.56129, 2.1744
123.05, 0.512997, 2.18298
