time, prey, predator
0.05, 0.40002, 1.998
0.55, 0.402409, 1.9783
1, 0.40792, 1.96144
1.5, 0.417678, 1.94435
2, 0.431094, 1.92964
2.55, 0.449751, 1.91697
3.05, 0.469799, 1.90923
3.55, 0.492149, 1.90557
4.05, 0.515943, 1.90633
4.55, 0.540063, 1.91168
5.05, 0.563154, 1.9216
5.55, 0.58369, 1.93581
6.05, 0.600111, 1.95377
6.55, 0.611016, 1.9746
7.05, 0.615369, 1.99719
7.55, 0.612689, 2.02022
8.05, 0.603153, 2.04225
8.55, 0.587576, 2.06191
9.05, 0.567282, 2.07801
9.55, 0.54389, 2.08963
10, 0.521583, 2.0958
10.5, 0.496842, 2.09772
11, 0.473425, 2.09457
11.5, 0.452359, 2.08677
12, 0.434372, 2.07492
12.5, 0.419935, 2.0598
13, 0.409326, 2.04222
13.5, 0.402681, 2.02305
14, 0.400049, 2.00313
14.5, 0.401419, 1.98327
15, 0.406738, 1.96428
15.5, 0.415908, 1.94687
16, 0.428767, 1.93176
16.5, 0.445065, 1.91955
17, 0.464415, 1.91084
17.5, 0.486247, 1.9061
18, 0.509767, 1.9057
18.5, 0.533924, 1.90987
19, 0.557419, 1.91863
19.5, 0.57876, 1.93179
20, 0.596379, 1.94885
20.5, 0.608813, 1.96905
21, 0.614915, 1.99131
21.5, 0.614048, 2.01435
22, 0.606214, 2.03678
22.5, 0.592076, 2.05717
23, 0.572844, 2.07428
23.5, 0.550084, 2.08711
24, 0.525485, 2.09503
24.5, 0.500649, 2.09776
25, 0.47695, 2.09538
25.5, 0.455462, 2.08827
26, 0.436957, 2.07701
26.5, 0.421943, 2.06234
27, 0.410724, 2.0451
27.5, 0.403455, 2.02611
28, 0.400195, 2.00625
28.5, 0.400943, 1.98634
29, 0.405651, 1.96716
29.5, 0.414227, 1.94946
30, 0.426525, 1.93394
30.5, 0.442307, 1.92124
31, 0.461212, 1.91195
31.5, 0.482703, 1.90656
32, 0.506022, 1.90547
32.5, 0.530159, 1.90891
33, 0.553852, 1.91697
33.5, 0.575632, 1.92946
34, 0.593934, 1.94596
34.5, 0.607265, 1.96573
35, 0.614412, 1.98774
35.5, 0.61465, 2.01076
36, 0.607877, 2.03337
36.5, 0.594656, 2.05417
37, 0.576123, 2.07187
37.5, 0.553803, 2.08542
38.05, 0.526887, 2.09472
38.55, 0.502026, 2.09775
39.05, 0.478232, 2.09565
39.55, 0.456596, 2.08878
40.05, 0.437908, 2.07774
40.55, 0.422688, 2.06324
41.05, 0.41125, 2.04612
41.55, 0.403757, 2.02721
42.05, 0.400272, 2.00738
42.55, 0.400795, 1.98744
43.05, 0.405282, 1.9682
43.55, 0.413645, 1.9504
44.05, 0.425738, 1.93474
44.55, 0.441333, 1.92187
45.05, 0.460075, 1.91238
45.55, 0.481439, 1.90675
46.05, 0.504679, 1.90541
46.55, 0.528802, 1.9086
47.05, 0.552557, 1.91639
47.55, 0.574486, 1.92865
48.05, 0.593024, 1.94494
48.55, 0.60667, 1.96454
49.05, 0.61419, 1.98647
49.55, 0.614825, 2.00946
50.05, 0.608437, 2.03214
50.55, 0.595553, 2.05307
51.05, 0.57728, 2.07097
51.55, 0.555129, 2.08478
52.05, 0.53078, 2.09378
52.55, 0.505871, 2.09762
53.05, 0.48183, 2.0963
53.55, 0.459798, 2.09015
54.05, 0.440609, 2.07971
54.55, 0.424822, 2.0657
55.05, 0.41278, 2.04893
55.55, 0.404664, 2.03025
56.05, 0.400552, 2.0105
56.55, 0.400451, 1.99053
57.05, 0.404323, 1.97113
57.55, 0.412088, 1.95306
58.05, 0.423612, 1.93702
58.55, 0.438679, 1.92367
59.05, 0.45696, 1.91361
59.55, 0.477956, 1.90736
60.05, 0.500963, 1.90532
60.55, 0.525023, 1.90779
61.05, 0.548928, 1.91487
61.55, 0.571244, 1.92645
62.05, 0.590415, 1.94215
62.55, 0.604916, 1.9613
63.05, 0.613456, 1.98294
63.55, 0.615193, 2.00586
64.05, 0.609884, 2.02868
64.55, 0.597954, 2.04997
65.05, 0.580431, 2.06842
65.55, 0.558776, 2.08293
66.05, 0.53466, 2.09271
66.55, 0.509737, 2.09736
67.05, 0.485478, 2.09684
67.55, 0.463069, 2.09141
68.05, 0.443393, 2.0816
68.55, 0.427048, 2.06809
69.05, 0.414405, 2.0517
69.55, 0.405669, 2.03326
70.05, 0.400929, 2.01362
70.55, 0.400203, 1.99363
71.05, 0.403459, 1.97409
71.55, 0.410624, 1.95576
72.05, 0.421572, 1.93936
72.55, 0.436104, 1.92556
73.05, 0.453911, 1.91495
73.55, 0.474524, 1.90807
74.05, 0.497272, 1.90535
74.55, 0.521242, 1.90711
75.05, 0.545261, 1.91347
75.55, 0.567926, 1.92436
76.05, 0.587692, 1.93945
76.55, 0.603015, 1.95812
77.05, 0.612556, 1.97944
77.55, 0.615387, 2.00225
78.05, 0.611168, 2.02518
78.55, 0.600218, 2.0468
79.05, 0.583481, 2.06578
79.55, 0.562364, 2.08096
80.05, 0.538521, 2.09152
80.55, 0.513621, 2.09698
81.05, 0.489171, 2.09725
81.55, 0.466408, 2.09256
82.05, 0.446259, 2.08339
82.55, 0.429364, 2.07042
83.05, 0.416126, 2.05442
83.55, 0.406771, 2.03624
84.05, 0.401405, 2.01673
84.55, 0.400053, 1.99675
85.05, 0.402691, 1.97708
85.55, 0.409252, 1.95852
86.05, 0.419619, 1.94177
86.55, 0.433609, 1.92752
87.05, 0.45093, 1.91637
87.55, 0.471144, 1.90888
88.05, 0.493613, 1.90549
88.55, 0.517462, 1.90653
89.05, 0.54156, 1.91217
89.55, 0.564537, 1.92237
90.05, 0.584859, 1.93684
90.55, 0.600972, 1.955
91.05, 0.61149, 1.97598
91.55, 0.615409, 1.99864
92.05, 0.612286, 2.02164
92.55, 0.60234, 2.04357
93.05, 0.586424, 2.06304
93.55, 0.565885, 2.07888
94.05, 0.542356, 2.09019
94.55, 0.517516, 2.09647
95.05, 0.492907, 2.09755
95.55, 0.469811, 2.0936
96.05, 0.449205, 2.08509
96.55, 0.431769, 2.07266
97.05, 0.417942, 2.05708
97.55, 0.407971, 2.03919
98.05, 0.401978, 2.01983
98.55, 0.4, 1.99987
99.05, 0.402018, 1.9801
99.55, 0.407972, 1.96132
100.05, 0.417756, 1.94424
100.55, 0.431196, 1.92955
101.05, 0.448021, 1.91788
101.55, 0.467819, 1.90979
102.05, 0.489987, 1.90573
102.55, 0.513689, 1.90606
103.05, 0.537833, 1.91098
103.55, 0.561083, 1.92049
104.05, 0.581924, 1.93432
104.55, 0.598793, 1.95195
105.05, 0.610263, 1.97256
105.55, 0.615257, 1.99504
106.05, 0.613237, 2.01809
106.55, 0.604316, 2.04027
107.05, 0.589253, 2.06021
107.55, 0.569333, 2.07668
108.05, 0.546159, 2.08875
108.55, 0.521417, 2.09583
109.05, 0.49668, 2.09772
109.55, 0.473276, 2.09453
110.05, 0.452228, 2.0867
110.55, 0.434263, 2.07483
111.05, 0.419852, 2.05969
111.55, 0.409268, 2.0421
112.05, 0.40265, 2.02292
112.55, 0.400045, 2.00299
113.05, 0.401442, 1.98314
113.55, 0.406787, 1.96416
114.05, 0.415981, 1.94677
114.55, 0.428865, 1.93166
115.05, 0.445185, 1.91948
115.55, 0.464553, 1.9108
116.05, 0.486399, 1.90608
116.55, 0.509927, 1.90571
117.05, 0.534085, 1.90991
117.55, 0.55757, 1.91871
118.05, 0.578891, 1.93189
118.55, 0.59648, 1.94898
119.05, 0.608876, 1.96919
119.55, 0.614933, 1.99146
120.05, 0.614018, 2.01451
120.55, 0.60614, 2.03692
121.05, 0.591963, 2.0573
121.55, 0.572702, 2.07438
122.05, 0.549924, 2.08718
122.55, 0.525318, 2.09507
123.05, 0.500486, 2.09776
123.55, 0.476798, 2.09535
124.05, 0.455328, 2.08821
124.55, 0.436845, 2.07692
125.05, 0.421856, 2.06224
125.55, 0.410662, 2.04497
126.05, 0.40342, 2.02598
126.55, 0.400187, 2.00612
127.05, 0.400961, 1.98621
