time, m, h, n, V
0.03,0.0503536,0.590022,0.319987,0.00967331
0.04,0.05046,0.590029,0.319982,0.0127059
0.05,0.0505611,0.590037,0.319978,0.0156489
0.06,0.0506573,0.590045,0.319973,0.0185058
0.07,0.0507486,0.590053,0.319969,0.0212801
0.08,0.0508353,0.590061,0.319964,0.0239751
0.09,0.0509176,0.590069,0.319959,0.0265939
0.1,0.0509958,0.590077,0.319954,0.0291396
0.11,0.0510701,0.590085,0.319949,0.0316151
0.12,0.0511405,0.590094,0.319944,0.0340233
0.13,0.0512074,0.590102,0.319939,0.0363667
0.14,0.0512708,0.590111,0.319934,0.038648
0.15,0.0513309,0.590119,0.319928,0.0408696
0.16,0.0513879,0.590128,0.319923,0.043034
0.17,0.0514419,0.590137,0.319918,0.0451433
0.18,0.0514931,0.590146,0.319912,0.0471998
0.19,0.0515416,0.590155,0.319907,0.0492055
0.2,0.0515876,0.590164,0.319902,0.0511624
0.21,0.051631,0.590173,0.319896,0.0530725
0.22,0.0516721,0.590182,0.319891,0.0549375
0.23,0.051711,0.590191,0.319885,0.0567592
0.24,0.0517478,0.590201,0.319879,0.0585393
0.25,0.0517826,0.59021,0.319874,0.0602793
0.26,0.0518154,0.590219,0.319868,0.0619808
0.27,0.0518464,0.590229,0.319862,0.0636453
0.28,0.0518756,0.590238,0.319856,0.0652741
0.29,0.0519032,0.590248,0.319851,0.0668685
0.3,0.0519292,0.590258,0.319845,0.0684299
0.31,0.0519537,0.590267,0.319839,0.0699594
0.32,0.0519767,0.590277,0.319833,0.0714583
0.33,0.0519984,0.590287,0.319827,0.0729275
0.34,0.0520188,0.590297,0.319821,0.0743683
0.35,0.0520379,0.590307,0.319815,0.0757816
0.36,0.0520559,0.590316,0.319809,0.0771683
0.37,0.0520727,0.590326,0.319803,0.0785293
0.38,0.0520885,0.590336,0.319797,0.0798657
0.39,0.0521032,0.590347,0.319791,0.0811781
0.4,0.052117,0.590357,0.319784,0.0824674
0.41,0.0521298,0.590367,0.319778,0.0837344
0.42,0.0521418,0.590377,0.319772,0.0849798
0.43,0.0521529,0.590387,0.319766,0.0862043
0.44,0.0521633,0.590397,0.31976,0.0874085
0.45,0.0521729,0.590408,0.319753,0.0885931
0.46,0.0521818,0.590418,0.319747,0.0897587
0.47,0.05219,0.590428,0.319741,0.0909059
0.48,0.0521975,0.590439,0.319734,0.0920351
0.49,0.0522044,0.590449,0.319728,0.093147
0.5,0.0522108,0.59046,0.319722,0.0942421
0.51,0.0522166,0.59047,0.319715,0.0953207
