time, m, h, n, V
0.03,0.0503536,0.590022,0.319987,0.00967335
0.04,0.05046,0.590029,0.319982,0.012706
0.05,0.0505611,0.590037,0.319978,0.0156491
0.06,0.0506573,0.590045,0.319973,0.0185063
0.07,0.0507486,0.590053,0.319969,0.0212809
0.08,0.0508353,0.590061,0.319964,0.0239763
0.09,0.0509176,0.590069,0.319959,0.0265957
0.1,0.0509958,0.590077,0.319954,0.0291421
0.11,0.0510701,0.590085,0.319949,0.0316185
0.12,0.0511405,0.590094,0.319944,0.0340276
0.13,0.0512074,0.590102,0.319939,0.0363723
0.14,0.0512708,0.590111,0.319934,0.038655
0.15,0.0513309,0.590119,0.319928,0.0408784
0.16,0.0513879,0.590128,0.319923,0.0430446
0.17,0.0514419,0.590137,0.319918,0.0451561
0.18,0.0514931,0.590146,0.319912,0.0472151
0.19,0.0515416,0.590155,0.319907,0.0492235
0.2,0.0515875,0.590164,0.319902,0.0511835
0.21,0.051631,0.590173,0.319896,0.0530969
0.22,0.0516721,0.590182,0.319891,0.0549657
0.23,0.051711,0.590191,0.319885,0.0567915
0.24,0.0517478,0.590201,0.319879,0.058576
0.25,0.0517825,0.59021,0.319874,0.0603208
0.26,0.0518153,0.590219,0.319868,0.0620275
0.27,0.0518463,0.590229,0.319862,0.0636976
0.28,0.0518755,0.590238,0.319856,0.0653325
0.29,0.0519031,0.590248,0.319851,0.0669335
0.3,0.0519291,0.590258,0.319845,0.0685018
0.31,0.0519536,0.590267,0.319839,0.0700388
0.32,0.0519766,0.590277,0.319833,0.0715457
0.33,0.0519983,0.590287,0.319827,0.0730234
0.34,0.0520186,0.590297,0.319821,0.0744731
0.35,0.0520377,0.590307,0.319815,0.0758959
0.36,0.0520557,0.590316,0.319809,0.0772927
0.37,0.0520725,0.590326,0.319803,0.0786644
0.38,0.0520882,0.590336,0.319797,0.080012
0.39,0.0521029,0.590347,0.319791,0.0813362
0.4,0.0521167,0.590357,0.319784,0.082638
0.41,0.0521295,0.590367,0.319778,0.083918
0.42,0.0521414,0.590377,0.319772,0.0851771
0.43,0.0521525,0.590387,0.319766,0.0864159
0.44,0.0521628,0.590398,0.31976,0.0876351
0.45,0.0521724,0.590408,0.319753,0.0888354
0.46,0.0521812,0.590418,0.319747,0.0900174
0.47,0.0521894,0.590429,0.319741,0.0911817
0.48,0.0521969,0.590439,0.319734,0.0923287
0.49,0.0522038,0.590449,0.319728,0.0934592
