time, popsize, sim
0.193651,6,1
1.01203,10,1
2.00023,37,1
3.00127,97,1
4.00024,203,1
5.00121,411,1
6.00067,670,1
7.00029,824,1
8.00005,877,1
9.00011,967,1
10.0004,1031,1
11.0003,1030,1
12.0001,990,1
13,1032,1
14.0005,988,1
15.0006,969,1
16.0006,956,1
17.0012,924,1
18.0001,884,1
19.0002,971,1
20.0002,939,1
21,923,1
22.0001,1015,1
23.0005,938,1
24.0006,1011,1
25.0004,1035,1
26.001,1055,1
27,979,1
28.0003,998,1
29.0001,932,1
30.0001,964,1
31,1019,1
32.0004,1056,1
33.0002,1002,1
34,1014,1
35.0004,1018,1
36.0001,1070,1
37.0002,965,1
38.0001,968,1
39.0003,956,1
40.0006,985,1
41.0021,926,1
42.0002,1041,1
43.0007,1023,1
44.0001,1003,1
45.0002,949,1
46,1025,1
47.0003,1049,1
48.0001,995,1
49,999,1
50.0004,1046,1
0.00744962,6,2
1.03959,8,2
2.00668,33,2
3.00195,84,2
4.00063,192,2
5.00107,385,2
6.00018,662,2
7.00013,848,2
8.00002,957,2
9.00002,1004,2
10,990,2
11.0003,1109,2
12.0001,1014,2
13.0003,1028,2
14.0003,1069,2
15.0002,979,2
16,954,2
17,1011,2
18,987,2
19.0003,996,2
20.0003,1044,2
21,1002,2
22.0006,1053,2
23.0001,948,2
24.0001,1027,2
25.0003,992,2
26.0002,936,2
27.0006,945,2
28.0001,1014,2
29,983,2
30.0001,1031,2
31.0005,955,2
32.0007,1042,2
33.0004,993,2
34.0004,1005,2
35.0006,992,2
36.0001,1021,2
37.0002,1005,2
38,1015,2
39.0004,1090,2
40.0001,971,2
41.0008,979,2
42.0007,982,2
43.0001,982,2
44,959,2
45,982,2
46.0002,997,2
47.0002,963,2
48.0003,937,2
49.0003,947,2
50.0003,1094,2
0.0390518,6,3
1.09401,2,3
2.08219,7,3
3.0214,25,3
4.00287,58,3
5.00132,189,3
6.00125,385,3
7.00035,666,3
8.00014,834,3
9.00034,870,3
10.0001,970,3
11.0006,983,3
12,986,3
13,1060,3
14.0003,996,3
15.0001,1000,3
16.0003,960,3
17.0006,950,3
18.0002,901,3
19,1002,3
20.0004,1008,3
21.0003,1042,3
22.0001,997,3
23.0005,1017,3
24.0002,977,3
25.0002,963,3
26.0002,992,3
27.0002,1035,3
28.0003,1004,3
29.0004,963,3
30.0001,995,3
31,1009,3
32.0007,996,3
33,995,3
34.0001,1045,3
35.0011,987,3
36.0001,929,3
37.0001,971,3
38.0003,979,3
39.0001,953,3
40.0001,1037,3
41.0003,985,3
42.0001,982,3
43.0001,1020,3
44,968,3
45.0003,918,3
46.0004,973,3
47.0002,985,3
48.0001,970,3
49.0001,1043,3
50.0004,1013,3
0.2583,6,4
1.0171,3,4
2.479,3,4
3.04081,7,4
4.00531,35,4
5.00174,81,4
6.0062,182,4
7.0005,390,4
8.00192,589,4
9.00021,777,4
10.0007,873,4
11,965,4
12.0005,930,4
13.0003,976,4
14.0001,1000,4
15.0004,1004,4
16.0003,985,4
17.0002,1008,4
18.0001,941,4
19.0002,943,4
20.0003,955,4
21.0002,996,4
22.0003,984,4
23.0002,949,4
24.0001,976,4
25.0001,994,4
26.0015,1021,4
27.0004,1066,4
28,1015,4
29.0001,933,4
30.0003,1023,4
31.0006,929,4
32.0005,920,4
33.0001,971,4
34.001,1016,4
35.0001,894,4
36.0004,1014,4
37.0001,950,4
38.0001,1061,4
39,985,4
40.0001,1000,4
41.0001,1016,4
42.0001,1057,4
43.0003,995,4
44.0003,960,4
45.0003,1018,4
46.0004,1029,4
47.0001,916,4
48.0001,1033,4
49.0007,1015,4
50.0001,1029,4
0.024835,6,5
1.00429,20,5
2.00686,40,5
3.00109,111,5
4.0001,263,5
5.00011,509,5
6.0004,706,5
7.00002,950,5
8.00059,943,5
9.0004,924,5
10.0003,974,5
11,1009,5
12,986,5
13.0004,947,5
14.0001,934,5
15.0008,991,5
16,933,5
17.0001,901,5
18.0002,937,5
19.0002,1017,5
20.0002,1093,5
21,945,5
22.0002,940,5
23.0002,993,5
24,988,5
25,991,5
26.0004,940,5
27.0002,1007,5
28.0005,943,5
29,1035,5
30.0002,1034,5
31.0003,993,5
32.0001,1063,5
33.0005,1021,5
34.0001,984,5
35.0001,1019,5
36.0006,972,5
37,927,5
38.0001,983,5
39,930,5
40.0001,1019,5
41.0012,1002,5
42.0002,1033,5
43.0003,1028,5
44,1026,5
45.0004,982,5
46,1024,5
47.0001,964,5
48,989,5
49.0001,1000,5
50.001,966,5
0.0516533,4,6
1.03527,7,6
2.01537,11,6
3.00221,45,6
4.00143,163,6
5.00008,370,6
6.00004,631,6
7.00002,848,6
8.00073,899,6
9.00002,1002,6
10.0004,1042,6
11.0002,1019,6
12.0003,940,6
13.0002,975,6
14,968,6
15.0006,1028,6
16.0001,1071,6
17.0003,1001,6
18.0001,1013,6
19.0003,989,6
20,975,6
21.0001,1006,6
22.0003,1004,6
23.0005,972,6
24.0004,1026,6
25.0003,994,6
26.0005,962,6
27,1047,6
28.0002,1037,6
29,1038,6
30.0002,952,6
31.0003,1017,6
32.0005,1039,6
33.0003,1073,6
34,1041,6
35.0002,1019,6
36.0002,1016,6
37.0002,1014,6
38.0002,1013,6
39.0002,1094,6
40.0006,1041,6
41.0001,976,6
42,984,6
43.0002,1070,6
44.0011,986,6
45.0002,1011,6
46.0003,1030,6
47.0001,990,6
48.0003,1004,6
49.0004,955,6
50.0002,971,6
0.0764684,6,7
1.15144,10,7
2.04828,17,7
3.00657,53,7
4.00004,141,7
5.00183,315,7
6.00077,531,7
7.00019,749,7
8.00028,901,7
9.00004,993,7
10.0001,1020,7
11,1058,7
12.0002,1109,7
13.0002,1090,7
14,1069,7
15.0001,1038,7
16.0002,1021,7
17.0001,1017,7
18.0001,1016,7
19.0002,1074,7
20,976,7
21,991,7
22.0008,1083,7
23.0002,981,7
24,986,7
25.0005,929,7
26.0004,972,7
27.0001,949,7
28,1076,7
29.0001,1079,7
30,1100,7
31,1051,7
32.0005,1003,7
33,1002,7
34.0007,1005,7
35.0001,990,7
36.0003,1002,7
37.0001,1017,7
38.0001,1002,7
39.0001,979,7
40.0001,983,7
41,951,7
42.0008,970,7
43.0004,1009,7
44.0009,933,7
45.0001,997,7
46,1000,7
47,935,7
48.0001,1125,7
49,1016,7
50,990,7
0.0793061,4,8
1.10546,10,8
2.01394,33,8
3.00156,96,8
4.00195,219,8
5.00033,508,8
6.0006,747,8
7.0004,947,8
8.0001,951,8
9.00007,896,8
10.0001,976,8
11.0001,961,8
12,998,8
13,989,8
14.0006,946,8
15,953,8
16.0002,975,8
17.0001,927,8
18.0002,941,8
19.0004,908,8
20.0003,953,8
21,971,8
22,1003,8
23.0003,988,8
24.0004,1037,8
25.001,1039,8
26.0001,966,8
27.0003,974,8
28.0002,1030,8
29.0001,1008,8
30,935,8
31.0001,909,8
32.0003,956,8
33.0001,1003,8
34.0001,952,8
35.0001,962,8
36,1019,8
37,1055,8
38,1043,8
39.0001,1039,8
40.0001,1063,8
41.0005,1002,8
42.0002,992,8
43.0004,954,8
44,993,8
45.0001,1011,8
46.0001,993,8
47.0002,1035,8
48.0001,1030,8
49,939,8
50.0035,920,8
0.102907,6,9
1.01251,7,9
2.05154,16,9
3.01603,33,9
4.00329,58,9
5.00175,107,9
6.00033,273,9
7.00023,533,9
8.00007,807,9
9.00028,921,9
10.0002,998,9
11.0002,983,9
12,887,9
13.0001,956,9
14.0001,1029,9
15.0004,1035,9
16.0001,970,9
17,990,9
18.0001,1018,9
19.0001,988,9
20.0001,1038,9
21,982,9
22.0001,971,9
23,992,9
24.0003,1036,9
25.0002,935,9
26.0004,965,9
27.0003,965,9
28.0007,943,9
29.0004,983,9
30.0002,988,9
31,980,9
32.0001,972,9
33.0002,1007,9
34.0002,1051,9
35.0005,968,9
36.0003,949,9
37.0003,939,9
38.0002,1024,9
39.0002,1007,9
40.0007,968,9
41.0001,966,9
42.0001,947,9
43.0002,966,9
44,1048,9
45.0006,988,9
46.0002,1052,9
47.0002,988,9
48.0001,996,9
49.0005,1046,9
50.0002,1034,9
0.0252699,4,10
1.02735,15,10
2.01181,41,10
3.00238,129,10
4.00194,251,10
5.00078,497,10
6.00072,759,10
7.0002,871,10
8.00004,943,10
9.00022,1066,10
10.0007,1055,10
11.0001,972,10
12.0001,1009,10
13,1043,10
14.0003,966,10
15.0003,1021,10
16.0001,1141,10
17.0001,1010,10
18.0001,1045,10
19.0001,971,10
20,983,10
21.0001,1056,10
22.0001,1034,10
23.0003,1021,10
24,982,10
25.0006,957,10
26,975,10
27.0002,987,10
28,962,10
29.0001,973,10
30.0002,968,10
