time, prey, predator
0.01, 0.0101847, 0.00999182
0.5, 0.0245756, 0.00964405
1, 0.0568257, 0.00942894
1.5, 0.115439, 0.00938174
2, 0.190915, 0.0094764
2.51, 0.254806, 0.00966254
3.01, 0.290128, 0.00988985
3.51, 0.30592, 0.0101395
4.01, 0.312195, 0.0104021
4.51, 0.314533, 0.0106741
5.01, 0.315346, 0.0109542
5.51, 0.315581, 0.0112419
6.01, 0.315598, 0.0115372
6.51, 0.315531, 0.0118403
7.01, 0.315431, 0.0121512
7.51, 0.315316, 0.0124703
8.01, 0.315195, 0.0127976
8.51, 0.315068, 0.0131335
9.01, 0.314937, 0.0134781
9.51, 0.314803, 0.0138315
10.01, 0.314665, 0.0141942
10.51, 0.314524, 0.0145662
11.01, 0.314378, 0.0149479
11.51, 0.314229, 0.0153395
12.01, 0.314076, 0.0157411
12.51, 0.313919, 0.0161532
13.01, 0.313757, 0.0165758
13.51, 0.313591, 0.0170094
14.01, 0.313421, 0.0174541
14.51, 0.313246, 0.0179103
15.01, 0.313067, 0.0183782
15.51, 0.312883, 0.0188581
16.01, 0.312694, 0.0193504
16.51, 0.3125, 0.0198552
17.01, 0.312301, 0.020373
17.51, 0.312096, 0.0209041
18, 0.311891, 0.0214377
18.5, 0.311675, 0.021996
19, 0.311454, 0.0225686
19.5, 0.311227, 0.0231557
20, 0.310994, 0.0237578
20.5, 0.310755, 0.0243752
21, 0.310509, 0.0250083
21.5, 0.310257, 0.0256574
22, 0.309998, 0.026323
22.5, 0.309733, 0.0270055
23, 0.30946, 0.0277051
23.5, 0.30918, 0.0284225
24, 0.308892, 0.0291579
24.5, 0.308597, 0.0299119
25, 0.308294, 0.0306848
25.5, 0.307983, 0.031477
26, 0.307664, 0.0322892
26.5, 0.307336, 0.0331216
27, 0.306999, 0.0339748
27.5, 0.306654, 0.0348493
28, 0.306299, 0.0357455
28.5, 0.305935, 0.036664
29, 0.305561, 0.0376052
29.5, 0.305177, 0.0385697
30, 0.304783, 0.0395581
30.5, 0.304378, 0.0405707
31, 0.303963, 0.0416082
31.5, 0.303537, 0.0426712
