preference,trait,time
0.04988,0.006,1
0.04976,0.012,2
0.04964,0.018,3
0.04952,0.024,4
0.0494,0.03,5
0.04928,0.036,6
0.04916,0.042,7
0.04904,0.048,8
0.04892,0.054,9
0.0488,0.06,10
0.04868,0.066,11
0.04856,0.072,12
0.04844,0.078,13
0.04832,0.084,14
0.0482,0.09,15
0.04808,0.096,16
0.04796,0.102,17
0.04784,0.108,18
0.04772,0.114,19
0.0476,0.12,20
0.04748,0.126,21
0.04736,0.132,22
0.04724,0.138,23
0.04712,0.144,24
0.047,0.15,25
0.04688,0.156,26
0.04676,0.162,27
0.04664,0.168,28
0.04652,0.174,29
0.0464,0.18,30
0.04628,0.186,31
0.04616,0.192,32a
0.04604,0.198,33
0.04592,0.204,34
0.0458,0.21,35
0.04568,0.216,36
0.04556,0.222,37
0.04544,0.228,38
0.04532,0.234,39
0.0452,0.24,40
0.04508,0.246,41
0.04496,0.252,42
0.04484,0.258,43
0.04472,0.264,44
0.0446,0.27,45
0.04448,0.276,46
0.04436,0.282,47
0.04424,0.288,48
0.04412,0.294,49
0.044,0.3,50
0.04388,0.306,51
0.04376,0.312,52
0.04364,0.318,53
0.04352,0.324,54
0.0434,0.33,55
0.04328,0.336,56
0.04316,0.342,57
0.04304,0.348,58
0.04292,0.354,59
0.0428,0.36,60
0.04268,0.366,61
0.04256,0.372,62
0.04244,0.378,63
0.04232,0.384,64
0.0422,0.39,65
0.04208,0.396,66
0.04196,0.402,67
0.04184,0.408,68
0.04172,0.414,69
0.0416,0.42,70
0.04148,0.426,71
0.04136,0.432,72
0.04124,0.438,73
0.04112,0.444,74
0.041,0.45,75
0.04088,0.456,76
0.04076,0.462,77
0.04064,0.468,78
0.04052,0.474,79
0.0404,0.48,80
0.04028,0.486,81
0.04016,0.492,82
0.04004,0.498,83
0.03992,0.504,84
0.0398,0.51,85
0.03968,0.516,86
0.03956,0.522,87
0.03944,0.528,88
0.03932,0.534,89
0.0392,0.54,90
0.03908,0.546,91
0.03896,0.552,92
0.03884,0.558,93
0.03872,0.564,94
0.0386,0.57,95
0.03848,0.576,96
0.03836,0.582,97
0.03824,0.588,98
0.03812,0.594,99
0.038,0.6,100
0.03788,0.606,101
0.03776,0.612,102
0.03764,0.618,103
0.03752,0.624,104
0.0374,0.63,105
0.03728,0.636,106
0.03716,0.642,107
0.03704,0.648,108
0.03692,0.654,109
0.0368,0.66,110
0.03668,0.666,111
0.03656,0.672,112
0.03644,0.678,113
0.03632,0.684,114
0.0362,0.69,115
0.03608,0.696,116
0.03596,0.702,117
0.03584,0.708,118
0.03572,0.714,119
0.0356,0.72,120
0.03548,0.726,121
0.03536,0.732,122
0.03524,0.738,123
0.03512,0.744,124
0.035,0.75,125
0.03488,0.756,126
0.03476,0.762,127
0.03464,0.768,128
0.03452,0.774,129
0.0344,0.78,130
0.03428,0.786,131
0.03416,0.792,132
0.03404,0.798,133
0.03392,0.804,134
0.0338,0.81,135
0.03368,0.816,136
0.03356,0.822,137
0.03344,0.828,138
0.03332,0.834,139
0.0332,0.84,140
0.03308,0.846,141
0.03296,0.852,142
0.03284,0.858,143
0.03272,0.864,144
0.0326,0.87,145
0.03248,0.876,146
0.03236,0.882,147
0.03224,0.888,148
0.03212,0.894,149
0.032,0.9,150
0.03188,0.906,151
0.03176,0.912,152
0.03164,0.918,153
0.03152,0.924,154
0.0314,0.93,155
0.03128,0.936,156
0.03116,0.942,157
0.03104,0.948,158
0.03092,0.954,159
0.0308,0.96,160
0.03068,0.966,161
0.03056,0.972,162
0.03044,0.978,163
0.03032,0.984,164
0.0302,0.99,165
0.03008,0.996,166
0.02996,1.002,167
0.02984,1.008,168
0.02972,1.014,169
0.0296,1.02,170
0.02948,1.026,171
0.02936,1.032,172
0.02924,1.038,173
0.02912,1.044,174
0.029,1.05,175
0.02888,1.056,176
0.02876,1.062,177
0.02864,1.068,178
0.02852,1.074,179
0.0284,1.08,180
0.02828,1.086,181
0.02816,1.092,182
0.02804,1.098,183
0.02792,1.104,184
0.0278,1.11,185
0.02768,1.116,186
0.02756,1.122,187
0.02744,1.128,188
0.02732,1.134,189
0.0272,1.14,190
0.02708,1.146,191
0.02696,1.152,192
0.02684,1.158,193
0.02672,1.164,194
0.0266,1.17,195
0.02648,1.176,196
0.02636,1.182,197
0.02624,1.188,198
0.02612,1.194,199
0.026,1.2,200
0.02588,1.206,201
0.02576,1.212,202
0.02564,1.218,203
0.02552,1.224,204
0.0254,1.23,205
0.02528,1.236,206
0.02516,1.242,207
0.02504,1.248,208
0.02492,1.254,209
0.0248,1.26,210
0.02468,1.266,211
0.02456,1.272,212
0.02444,1.278,213
0.02432,1.284,214
0.0242,1.29,215
0.02408,1.296,216
0.02396,1.302,217
0.02384,1.308,218
0.02372,1.314,219
0.0236,1.32,220
0.02348,1.326,221
0.02336,1.332,222
0.02324,1.338,223
0.02312,1.344,224
0.023,1.35,225
0.02288,1.356,226
0.02276,1.362,227
0.02264,1.368,228
0.02252,1.374,229
0.0224,1.38,230
0.02228,1.386,231
0.02216,1.392,232
0.02204,1.398,233
0.02192,1.404,234
0.0218,1.41,235
0.02168,1.416,236
0.02156,1.422,237
0.02144,1.428,238
0.02132,1.434,239
0.0212,1.44,240
0.02108,1.446,241
0.02096,1.452,242
0.02084,1.458,243
0.02072,1.464,244
0.0206,1.47,245
0.02048,1.476,246
0.02036,1.482,247
0.02024,1.488,248
0.02012,1.494,249
0.02,1.5,250
0.01988,1.506,251
0.01976,1.512,252
0.01964,1.518,253
0.01952,1.524,254
0.0194,1.53,255
0.01928,1.536,256
0.01916,1.542,257
0.01904,1.548,258
0.01892,1.554,259
0.0188,1.56,260
0.01868,1.566,261
0.01856,1.572,262
0.01844,1.578,263
0.01832,1.584,264
0.0182,1.59,265
0.01808,1.596,266
0.01796,1.602,267
0.01784,1.608,268
0.01772,1.614,269
0.0176,1.62,270
0.01748,1.626,271
0.01736,1.632,272
0.01724,1.638,273
0.01712,1.644,274
0.017,1.65,275
0.01688,1.656,276
0.01676,1.662,277
0.01664,1.668,278
0.01652,1.674,279
0.0164,1.68,280
0.01628,1.686,281
0.01616,1.692,282
0.01604,1.698,283
0.01592,1.704,284
0.0158,1.71,285
0.01568,1.716,286
0.01556,1.722,287
0.01544,1.728,288
0.01532,1.734,289
0.0152,1.74,290
0.01508,1.746,291
0.01496,1.752,292
0.01484,1.758,293
0.01472,1.764,294
0.0146,1.77,295
0.01448,1.776,296
0.01436,1.782,297
0.01424,1.788,298
0.01412,1.794,299
0.014,1.8,300
0.01388,1.806,301
0.01376,1.812,302
0.01364,1.818,303
0.01352,1.824,304
0.0134,1.83,305
0.01328,1.836,306
0.01316,1.842,307
0.01304,1.848,308
0.01292,1.854,309
0.0128,1.86,310
