sim, force, length_start, length_final, time_steps
0, 1e-12,8e-09,0.00196396,100
1, 1e-12,0.00196396,0.00392422,100
2, 1e-12,0.00392422,0.00588231,100
3, 1e-12,0.00588231,0.00783902,100
4, 1e-12,0.00783902,0.0098003,100
5, 1e-12,0.0098003,0.0117667,100
6, 1e-12,0.0117667,0.0137287,100
7, 1e-12,0.0137287,0.0156887,100
8, 1e-12,0.0156887,0.0176465,100
9, 1e-12,0.0176465,0.0196097,100
0, 1e-12,0.0196097,0.0215701,100
1, 1e-12,0.0215701,0.0235262,100
2, 1e-12,0.0235262,0.0254911,100
3, 1e-12,0.0254911,0.0274536,100
4, 1e-12,0.0274536,0.0294113,100
5, 1e-12,0.0294113,0.0313742,100
6, 1e-12,0.0313742,0.0333337,100
7, 1e-12,0.0333337,0.035289,100
8, 1e-12,0.035289,0.037244,100
9, 1e-12,0.037244,0.0392002,100
0, 2e-12,0.0392002,0.0411602,100
1, 2e-12,0.0411602,0.043115,100
2, 2e-12,0.043115,0.0450682,100
3, 2e-12,0.0450682,0.0470249,100
4, 2e-12,0.0470249,0.0489798,100
5, 2e-12,0.0489798,0.0509382,100
6, 2e-12,0.0509382,0.0529013,100
7, 2e-12,0.0529013,0.0548589,100
8, 2e-12,0.0548589,0.0568209,100
9, 2e-12,0.0568209,0.058783,100
0, 3e-12,0.058783,0.0607458,100
1, 3e-12,0.0607458,0.0626969,100
2, 3e-12,0.0626969,0.0646498,100
3, 3e-12,0.0646498,0.0666127,100
4, 3e-12,0.0666127,0.0685706,100
5, 3e-12,0.0685706,0.0705189,100
6, 3e-12,0.0705189,0.0724882,100
7, 3e-12,0.0724882,0.074445,100
8, 3e-12,0.074445,0.0764083,100
9, 3e-12,0.0764083,0.0783688,100
0, 4e-12,0.0783688,0.0803345,100
1, 4e-12,0.0803345,0.0822921,100
2, 4e-12,0.0822921,0.0842559,100
3, 4e-12,0.0842559,0.0862169,100
4, 4e-12,0.0862169,0.0881785,100
5, 4e-12,0.0881785,0.0901377,100
6, 4e-12,0.0901377,0.0920954,100
7, 4e-12,0.0920954,0.094054,100
8, 4e-12,0.094054,0.0960122,100
9, 4e-12,0.0960122,0.0979698,100
0, 5e-12,0.0979698,0.0999364,100
1, 5e-12,0.0999364,0.101899,100
2, 5e-12,0.101899,0.103855,100
3, 5e-12,0.103855,0.105816,100
4, 5e-12,0.105816,0.107779,100
5, 5e-12,0.107779,0.109739,100
6, 5e-12,0.109739,0.111704,100
7, 5e-12,0.111704,0.113667,100
8, 5e-12,0.113667,0.11563,100
9, 5e-12,0.11563,0.117591,100
0, 6e-12,0.117591,0.119549,100
1, 6e-12,0.119549,0.121508,100
2, 6e-12,0.121508,0.123474,100
3, 6e-12,0.123474,0.125428,100
4, 6e-12,0.125428,0.127387,100
5, 6e-12,0.127387,0.129352,100
6, 6e-12,0.129352,0.131316,100
7, 6e-12,0.131316,0.133278,100
8, 6e-12,0.133278,0.135242,100
9, 6e-12,0.135242,0.137201,100
0, 7e-12,0.137201,0.139156,100
1, 7e-12,0.139156,0.141112,100
2, 7e-12,0.141112,0.143074,100
3, 7e-12,0.143074,0.145033,100
4, 7e-12,0.145033,0.146997,100
5, 7e-12,0.146997,0.148957,100
6, 7e-12,0.148957,0.150916,100
7, 7e-12,0.150916,0.15288,100
8, 7e-12,0.15288,0.15484,100
9, 7e-12,0.15484,0.156802,100
0, 8e-12,0.156802,0.158767,100
1, 8e-12,0.158767,0.16072,100
2, 8e-12,0.16072,0.162674,100
3, 8e-12,0.162674,0.164638,100
4, 8e-12,0.164638,0.166596,100
5, 8e-12,0.166596,0.168564,100
6, 8e-12,0.168564,0.170533,100
7, 8e-12,0.170533,0.172492,100
8, 8e-12,0.172492,0.174453,100
9, 8e-12,0.174453,0.176412,100
0, 9e-12,0.176412,0.178373,100
1, 9e-12,0.178373,0.180335,100
2, 9e-12,0.180335,0.182296,100
3, 9e-12,0.182296,0.184258,100
4, 9e-12,0.184258,0.186217,100
5, 9e-12,0.186217,0.188176,100
6, 9e-12,0.188176,0.19014,100
7, 9e-12,0.19014,0.192103,100
8, 9e-12,0.192103,0.194059,100
9, 9e-12,0.194059,0.196016,100
0, 1e-11,0.196016,0.197978,100
1, 1e-11,0.197978,0.199947,100
2, 1e-11,0.199947,0.201906,100
3, 1e-11,0.201906,0.203867,100
4, 1e-11,0.203867,0.205834,100
5, 1e-11,0.205834,0.207786,100
6, 1e-11,0.207786,0.20975,100
7, 1e-11,0.20975,0.211705,100
8, 1e-11,0.211705,0.213653,100
9, 1e-11,0.213653,0.215607,100
0, 1.1e-11,0.215607,0.217566,100
1, 1.1e-11,0.217566,0.219521,100
2, 1.1e-11,0.219521,0.221475,100
3, 1.1e-11,0.221475,0.223438,100
4, 1.1e-11,0.223438,0.225403,100
5, 1.1e-11,0.225403,0.22736,100
6, 1.1e-11,0.22736,0.229323,100
7, 1.1e-11,0.229323,0.231281,100
8, 1.1e-11,0.231281,0.233236,100
9, 1.1e-11,0.233236,0.235198,100
