x,y,angle,step,command
0,0,0,0,B
0.2,0,0,0,B
0.2,0,0,1,L
0.2,0,0.698222,1,L
0.2,0,0.698222,2,B
0.353197,0.128571,0.698222,2,B
0.353197,0.128571,0.698222,3,L
0.353197,0.128571,1.39644,3,L
0.353197,0.128571,1.39644,4,B
0.387891,0.325539,1.39644,4,B
0.387891,0.325539,1.39644,5,L
0.387891,0.325539,2.09467,5,L
0.387891,0.325539,2.09467,6,B
0.287844,0.498717,2.09467,6,B
0.287844,0.498717,2.09467,7,L
0.287844,0.498717,2.79289,7,L
0.287844,0.498717,2.79289,8,B
0.0998809,0.567053,2.79289,8,B
0.0998809,0.567053,2.79289,9,L
0.0998809,0.567053,3.49111,9,L
0.0998809,0.567053,3.49111,10,B
-0.0880266,0.498564,3.49111,10,B
-0.0880266,0.498564,3.49111,11,L
-0.0880266,0.498564,4.18933,11,L
-0.0880266,0.498564,4.18933,12,A
-0.187933,0.325305,4.18933,12,A
-0.187933,0.325305,4.18933,13,R
-0.0880266,0.498564,2.79289,13,R
-0.0880266,0.498564,2.79289,14,A
-0.27599,0.5669,2.79289,14,A
-0.27599,0.5669,2.79289,15,R
0.0998809,0.567053,2.09467,15,R
0.0998809,0.567053,2.09467,16,B
-0.000166118,0.740231,2.09467,16,B
-0.000166118,0.740231,2.09467,17,L
-0.000166118,0.740231,2.79289,17,L
-0.000166118,0.740231,2.79289,18,A
-0.188129,0.808567,2.79289,18,A
-0.188129,0.808567,2.79289,19,R
-0.000166118,0.740231,1.39644,19,R
-0.000166118,0.740231,1.39644,20,A
0.0345279,0.937199,1.39644,20,A
0.0345279,0.937199,1.39644,21,R
0.287844,0.498717,1.39644,21,R
0.287844,0.498717,1.39644,22,B
0.322538,0.695685,1.39644,22,B
0.322538,0.695685,1.39644,23,L
0.322538,0.695685,2.09467,23,L
0.322538,0.695685,2.09467,24,B
0.222491,0.868863,2.09467,24,B
0.222491,0.868863,2.09467,25,L
0.222491,0.868863,2.79289,25,L
0.222491,0.868863,2.79289,26,A
0.0345279,0.937199,2.79289,26,A
0.0345279,0.937199,2.79289,27,R
0.222491,0.868863,1.39644,27,R
0.222491,0.868863,1.39644,28,A
0.257185,1.06583,1.39644,28,A
0.257185,1.06583,1.39644,29,R
0.322538,0.695685,0.698222,29,R
0.322538,0.695685,0.698222,30,B
0.475735,0.824256,0.698222,30,B
0.475735,0.824256,0.698222,31,L
0.475735,0.824256,1.39644,31,L
0.475735,0.824256,1.39644,32,A
0.510429,1.02122,1.39644,32,A
0.510429,1.02122,1.39644,33,R
0.475735,0.824256,-2.22045e-16,33,R
0.475735,0.824256,-2.22045e-16,34,A
0.675735,0.824256,-2.22045e-16,34,A
0.675735,0.824256,-2.22045e-16,35,R
0.387891,0.325539,0.698222,35,R
0.387891,0.325539,0.698222,36,B
0.541088,0.454111,0.698222,36,B
0.541088,0.454111,0.698222,37,L
0.541088,0.454111,1.39644,37,L
0.541088,0.454111,1.39644,38,B
0.575782,0.651078,1.39644,38,B
0.575782,0.651078,1.39644,39,L
0.575782,0.651078,2.09467,39,L
0.575782,0.651078,2.09467,40,B
0.475735,0.824256,2.09467,40,B
0.475735,0.824256,2.09467,41,L
0.475735,0.824256,2.79289,41,L
0.475735,0.824256,2.79289,42,A
0.287772,0.892592,2.79289,42,A
0.287772,0.892592,2.79289,43,R
0.475735,0.824256,1.39644,43,R
0.475735,0.824256,1.39644,44,A
0.510429,1.02122,1.39644,44,A
